Region: NA-East
Sent: 2023-11-02 17:41:03.566244, Received: 2023-11-02 17:41:03.686659
Sent: 2023-11-02 17:41:18.051768, Received: 2023-11-02 17:41:18.086768
Sent: 2023-11-02 17:41:18.086768, Received: 2023-11-02 17:41:18.122890
Sent: 2023-11-02 17:41:18.123005, Received: 2023-11-02 17:41:18.157965
Sent: 2023-11-02 17:41:18.157965, Received: 2023-11-02 17:41:18.193180
Sent: 2023-11-02 17:41:18.193180, Received: 2023-11-02 17:41:18.229303
Sent: 2023-11-02 17:41:18.229303, Received: 2023-11-02 17:41:18.264927
Sent: 2023-11-02 17:41:18.264927, Received: 2023-11-02 17:41:18.299982
Sent: 2023-11-02 17:41:18.300987, Received: 2023-11-02 17:41:18.339655
Sent: 2023-11-02 17:41:18.339655, Received: 2023-11-02 17:41:18.375804
Sent: 2023-11-02 17:41:18.375804, Received: 2023-11-02 17:41:18.412880
Sent: 2023-11-02 17:41:18.413891, Received: 2023-11-02 17:41:18.450081
Sent: 2023-11-02 17:41:18.450081, Received: 2023-11-02 17:41:18.484925
Sent: 2023-11-02 17:41:18.485930, Received: 2023-11-02 17:41:18.520358
Sent: 2023-11-02 17:41:18.520358, Received: 2023-11-02 17:41:18.555993
Sent: 2023-11-02 17:41:18.555993, Received: 2023-11-02 17:41:18.592617
Sent: 2023-11-02 17:41:18.593653, Received: 2023-11-02 17:41:18.630464
Sent: 2023-11-02 17:41:18.631469, Received: 2023-11-02 17:41:18.673805
Sent: 2023-11-02 17:41:18.673805, Received: 2023-11-02 17:41:18.709517
Sent: 2023-11-02 17:41:18.709517, Received: 2023-11-02 17:41:18.745797
Sent: 2023-11-02 17:41:18.745797, Received: 2023-11-02 17:41:18.783998
Sent: 2023-11-02 17:41:18.783998, Received: 2023-11-02 17:41:18.818640
Sent: 2023-11-02 17:41:18.818640, Received: 2023-11-02 17:41:18.852881
Sent: 2023-11-02 17:41:18.853978, Received: 2023-11-02 17:41:18.888677
Sent: 2023-11-02 17:41:18.888677, Received: 2023-11-02 17:41:18.923505
Sent: 2023-11-02 17:41:18.924025, Received: 2023-11-02 17:41:18.960474
Sent: 2023-11-02 17:41:18.960474, Received: 2023-11-02 17:41:18.997251
Sent: 2023-11-02 17:41:18.998256, Received: 2023-11-02 17:41:19.032867
Sent: 2023-11-02 17:41:19.032867, Received: 2023-11-02 17:41:19.068680
Sent: 2023-11-02 17:41:19.068680, Received: 2023-11-02 17:41:19.103245
Sent: 2023-11-02 17:41:19.103245, Received: 2023-11-02 17:41:19.150090
Sent: 2023-11-02 17:41:19.151094, Received: 2023-11-02 17:41:19.189895
Sent: 2023-11-02 17:41:19.190901, Received: 2023-11-02 17:41:19.227549
Sent: 2023-11-02 17:41:19.227549, Received: 2023-11-02 17:41:19.266069
Sent: 2023-11-02 17:41:19.266069, Received: 2023-11-02 17:41:19.300608
Sent: 2023-11-02 17:41:19.301612, Received: 2023-11-02 17:41:19.336515
Sent: 2023-11-02 17:41:19.336515, Received: 2023-11-02 17:41:19.371644
Sent: 2023-11-02 17:41:19.371644, Received: 2023-11-02 17:41:19.407067
Sent: 2023-11-02 17:41:19.407067, Received: 2023-11-02 17:41:19.442753
Sent: 2023-11-02 17:41:19.442753, Received: 2023-11-02 17:41:19.477917
Sent: 2023-11-02 17:41:19.477917, Received: 2023-11-02 17:41:19.513699
Sent: 2023-11-02 17:41:19.513699, Received: 2023-11-02 17:41:19.550821
Sent: 2023-11-02 17:41:19.551823, Received: 2023-11-02 17:41:19.587457
Sent: 2023-11-02 17:41:19.588461, Received: 2023-11-02 17:41:19.622735
Sent: 2023-11-02 17:41:19.623869, Received: 2023-11-02 17:41:19.666066
Sent: 2023-11-02 17:41:19.666066, Received: 2023-11-02 17:41:19.706112
Sent: 2023-11-02 17:41:19.706112, Received: 2023-11-02 17:41:19.741256
Sent: 2023-11-02 17:41:19.741256, Received: 2023-11-02 17:41:19.777460
Sent: 2023-11-02 17:41:19.778463, Received: 2023-11-02 17:41:19.813590
Sent: 2023-11-02 17:41:19.813590, Received: 2023-11-02 17:41:19.848683
Sent: 2023-11-02 17:41:19.849689, Received: 2023-11-02 17:41:19.884968
Sent: 2023-11-02 17:41:19.884968, Received: 2023-11-02 17:41:19.919073
Sent: 2023-11-02 17:41:19.920075, Received: 2023-11-02 17:41:19.964708
Sent: 2023-11-02 17:41:19.965714, Received: 2023-11-02 17:41:19.999894
Sent: 2023-11-02 17:41:19.999894, Received: 2023-11-02 17:41:20.037319
Sent: 2023-11-02 17:41:20.037319, Received: 2023-11-02 17:41:20.071844
Sent: 2023-11-02 17:41:20.071844, Received: 2023-11-02 17:41:20.107468
Sent: 2023-11-02 17:41:20.107468, Received: 2023-11-02 17:41:20.143064
Sent: 2023-11-02 17:41:20.143064, Received: 2023-11-02 17:41:20.182708
Sent: 2023-11-02 17:41:20.182708, Received: 2023-11-02 17:41:20.218810
Sent: 2023-11-02 17:41:20.219816, Received: 2023-11-02 17:41:20.254471
Sent: 2023-11-02 17:41:20.255482, Received: 2023-11-02 17:41:20.293537
Sent: 2023-11-02 17:41:20.294541, Received: 2023-11-02 17:41:20.330995
Sent: 2023-11-02 17:41:20.332504, Received: 2023-11-02 17:41:20.367366
Sent: 2023-11-02 17:41:20.367366, Received: 2023-11-02 17:41:20.402519
Sent: 2023-11-02 17:41:20.402519, Received: 2023-11-02 17:41:20.437772
Sent: 2023-11-02 17:41:20.438781, Received: 2023-11-02 17:41:20.473478
Sent: 2023-11-02 17:41:20.473478, Received: 2023-11-02 17:41:20.508578
Sent: 2023-11-02 17:41:20.509583, Received: 2023-11-02 17:41:20.545618
Sent: 2023-11-02 17:41:20.546625, Received: 2023-11-02 17:41:20.581104
Sent: 2023-11-02 17:41:20.581104, Received: 2023-11-02 17:41:20.616419
Sent: 2023-11-02 17:41:20.616419, Received: 2023-11-02 17:41:20.652464
Sent: 2023-11-02 17:41:20.652464, Received: 2023-11-02 17:41:20.691320
Sent: 2023-11-02 17:41:20.692830, Received: 2023-11-02 17:41:20.727952
Sent: 2023-11-02 17:41:20.727952, Received: 2023-11-02 17:41:20.762512
Sent: 2023-11-02 17:41:20.762512, Received: 2023-11-02 17:41:20.799629
Sent: 2023-11-02 17:41:20.799629, Received: 2023-11-02 17:41:20.834824
Sent: 2023-11-02 17:41:20.835829, Received: 2023-11-02 17:41:20.871022
Sent: 2023-11-02 17:41:20.872527, Received: 2023-11-02 17:41:20.907585
Sent: 2023-11-02 17:41:20.907585, Received: 2023-11-02 17:41:20.972502
Sent: 2023-11-02 17:41:20.972502, Received: 2023-11-02 17:41:21.006985
Sent: 2023-11-02 17:41:21.006985, Received: 2023-11-02 17:41:21.041803
Sent: 2023-11-02 17:41:21.042808, Received: 2023-11-02 17:41:21.077852
Sent: 2023-11-02 17:41:21.077852, Received: 2023-11-02 17:41:21.114744
Sent: 2023-11-02 17:41:21.114744, Received: 2023-11-02 17:41:21.152922
Sent: 2023-11-02 17:41:21.152922, Received: 2023-11-02 17:41:21.187826
Sent: 2023-11-02 17:41:21.187826, Received: 2023-11-02 17:41:21.226482
Sent: 2023-11-02 17:41:21.226482, Received: 2023-11-02 17:41:21.279116
Sent: 2023-11-02 17:41:21.280115, Received: 2023-11-02 17:41:21.316805
Sent: 2023-11-02 17:41:21.317810, Received: 2023-11-02 17:41:21.352674
Sent: 2023-11-02 17:41:21.352674, Received: 2023-11-02 17:41:21.386800
Sent: 2023-11-02 17:41:21.387803, Received: 2023-11-02 17:41:21.422895
Sent: 2023-11-02 17:41:21.422895, Received: 2023-11-02 17:41:21.457865
Sent: 2023-11-02 17:41:21.458871, Received: 2023-11-02 17:41:21.492738
Sent: 2023-11-02 17:41:21.493817, Received: 2023-11-02 17:41:21.529521
Sent: 2023-11-02 17:41:21.530528, Received: 2023-11-02 17:41:21.565784
Sent: 2023-11-02 17:41:21.565784, Received: 2023-11-02 17:41:21.600494
Sent: 2023-11-02 17:41:21.601500, Received: 2023-11-02 17:41:21.636683
Sent: 2023-11-02 17:41:21.636683, Received: 2023-11-02 17:41:21.672564
Sent: 2023-11-02 17:41:21.672564, Received: 2023-11-02 17:41:21.709281
Sent: 2023-11-02 17:41:21.709281, Received: 2023-11-02 17:41:21.744623
Sent: 2023-11-02 17:41:21.744623, Received: 2023-11-02 17:41:21.784466
Sent: 2023-11-02 17:41:21.784466, Received: 2023-11-02 17:41:21.820962
Sent: 2023-11-02 17:41:21.820962, Received: 2023-11-02 17:41:21.857571
Sent: 2023-11-02 17:41:21.857571, Received: 2023-11-02 17:41:21.916374
Sent: 2023-11-02 17:41:21.917380, Received: 2023-11-02 17:41:21.953010
Sent: 2023-11-02 17:41:21.954021, Received: 2023-11-02 17:41:21.988605
Sent: 2023-11-02 17:41:21.989609, Received: 2023-11-02 17:41:22.024180
Sent: 2023-11-02 17:41:22.025184, Received: 2023-11-02 17:41:22.059717
Sent: 2023-11-02 17:41:22.060722, Received: 2023-11-02 17:41:22.097793
Sent: 2023-11-02 17:41:22.097793, Received: 2023-11-02 17:41:22.133198
Sent: 2023-11-02 17:41:22.134204, Received: 2023-11-02 17:41:22.168272
Sent: 2023-11-02 17:41:22.169273, Received: 2023-11-02 17:41:22.203842
Sent: 2023-11-02 17:41:22.204842, Received: 2023-11-02 17:41:22.238896
Sent: 2023-11-02 17:41:22.239898, Received: 2023-11-02 17:41:22.273951
Sent: 2023-11-02 17:41:22.274959, Received: 2023-11-02 17:41:22.311012
Sent: 2023-11-02 17:41:22.311012, Received: 2023-11-02 17:41:22.346580
Sent: 2023-11-02 17:41:22.346580, Received: 2023-11-02 17:41:22.382743
Sent: 2023-11-02 17:41:22.382743, Received: 2023-11-02 17:41:22.423845
Sent: 2023-11-02 17:41:22.423845, Received: 2023-11-02 17:41:22.460409
Sent: 2023-11-02 17:41:22.461408, Received: 2023-11-02 17:41:22.496617
Sent: 2023-11-02 17:41:22.497618, Received: 2023-11-02 17:41:22.531250
Sent: 2023-11-02 17:41:22.532755, Received: 2023-11-02 17:41:22.569866
Sent: 2023-11-02 17:41:22.569866, Received: 2023-11-02 17:41:22.604795
Sent: 2023-11-02 17:41:22.604795, Received: 2023-11-02 17:41:22.639425
Sent: 2023-11-02 17:41:22.640428, Received: 2023-11-02 17:41:22.675608

Region: Oceania
Sent: 2023-11-02 17:41:08.416142, Received: 2023-11-02 17:41:08.720158
Sent: 2023-11-02 17:41:08.720158, Received: 2023-11-02 17:41:09.014033
Sent: 2023-11-02 17:41:09.015039, Received: 2023-11-02 17:41:09.308078
Sent: 2023-11-02 17:41:09.309083, Received: 2023-11-02 17:41:09.603710
Sent: 2023-11-02 17:41:09.603710, Received: 2023-11-02 17:41:09.901513
Sent: 2023-11-02 17:41:09.901513, Received: 2023-11-02 17:41:10.195053
Sent: 2023-11-02 17:41:10.195053, Received: 2023-11-02 17:41:10.490036
Sent: 2023-11-02 17:41:10.490036, Received: 2023-11-02 17:41:10.783910
Sent: 2023-11-02 17:41:10.783910, Received: 2023-11-02 17:41:11.081150
Sent: 2023-11-02 17:41:11.081150, Received: 2023-11-02 17:41:11.375229

Region: Brazil
Sent: 2023-11-02 17:41:11.376229, Received: 2023-11-02 17:41:11.607959
Sent: 2023-11-02 17:41:11.607959, Received: 2023-11-02 17:41:11.819854
Sent: 2023-11-02 17:41:11.819854, Received: 2023-11-02 17:41:12.031319
Sent: 2023-11-02 17:41:12.032827, Received: 2023-11-02 17:41:12.243675
Sent: 2023-11-02 17:41:12.244683, Received: 2023-11-02 17:41:12.455451
Sent: 2023-11-02 17:41:12.456457, Received: 2023-11-02 17:41:12.668717
Sent: 2023-11-02 17:41:12.668717, Received: 2023-11-02 17:41:12.880074
Sent: 2023-11-02 17:41:12.880074, Received: 2023-11-02 17:41:13.092640
Sent: 2023-11-02 17:41:13.092640, Received: 2023-11-02 17:41:13.304902
Sent: 2023-11-02 17:41:13.305905, Received: 2023-11-02 17:41:13.516876

Region: Asia
Sent: 2023-11-02 17:41:13.517881, Received: 2023-11-02 17:41:13.790061
Sent: 2023-11-02 17:41:13.790061, Received: 2023-11-02 17:41:14.046517
Sent: 2023-11-02 17:41:14.046517, Received: 2023-11-02 17:41:14.303782
Sent: 2023-11-02 17:41:14.303782, Received: 2023-11-02 17:41:14.559922
Sent: 2023-11-02 17:41:14.559922, Received: 2023-11-02 17:41:14.815857
Sent: 2023-11-02 17:41:14.816862, Received: 2023-11-02 17:41:15.074364
Sent: 2023-11-02 17:41:15.074364, Received: 2023-11-02 17:41:15.332623
Sent: 2023-11-02 17:41:15.332623, Received: 2023-11-02 17:41:15.591947
Sent: 2023-11-02 17:41:15.591947, Received: 2023-11-02 17:41:15.847814
Sent: 2023-11-02 17:41:15.847814, Received: 2023-11-02 17:41:16.104449

